Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
PCHM,PHARMCHEM INC,Pink No Information,5.250000,0.7678,"5,000 ",Common Stock,USA,Texas
STHC,SOUTHCORP CAPITAL INC,Pink No Information,0.088000,-2.7624,"10,557,524 ",Common Stock,USA,California
PTRO,PETROMINERALS CORP,Pink No Information,0.063000,,0 ,Common Stock,USA,California
PAWH,PENNA WHSE&SAFE DEP CO,Pink No Information,"5,850.000000",,0 ,Common Stock,USA,Pennsylvania
PKMS,PECKHAM INDUS INC,Pink No Information,0.000000,,0 ,Common Stock,USA,New York
CHYL,CHINA SENIOR LIV IND INT,Pink No Information,0.045000,,0 ,Common Stock,USA,Arizona
PKDC,PARKER DRILLING CO,Pink No Information,6.020000,-5.1969,515 ,Common Stock,USA,Texas
PDER,PARDEE RESOURCES CO INC,Pink No Information,187.000000,,0 ,Common Stock,USA,Pennsylvania
PARF,PARADISE INC,Pink No Information,8.980000,,0 ,Common Stock,USA,Florida
NTME,NETMED INC,Pink No Information,0.230000,130,"10,000 ",Common Stock,USA,Ohio
PSBC,PACIFIC STATE BANCORP,Pink No Information,0.006100,,0 ,Common Stock,USA,California
PEMC,PACIFIC ENERGY&MING CO,Pink No Information,0.019500,,0 ,Common Stock,USA,Nevada
SSVC,SECURED SERVICES INC,Pink No Information,0.004900,,0 ,Common Stock,USA,Virginia
PMDL,PACE MEDICAL INC,Pink No Information,0.036800,,0 ,Common Stock,USA,California
AVPI,AVP INC,Pink No Information,0.049600,,0 ,Common Stock,USA,California
PDRX,PD-RX PHARMACEUTICALS INC,Pink No Information,2.650000,1.9231,"41,900 ",Common Stock,USA,Oklahoma
OUTB,OUTBACK OIL&MNRL EXPL CRP,Pink No Information,0.173000,,0 ,Common Stock,USA,New York
JMTM,JAMES MARITIME HLDGS INC,Pink No Information,2.500000,,0 ,Common Stock,USA,Utah
ORYX,ORYX TECHNOLOGY CORP,Pink No Information,0.089700,-3.5484,"2,300 ",Common Stock,USA,California
OSTO,ORIGINAL 16 TO 1 MINE INC,Pink No Information,0.250000,,0 ,Common Stock,USA,California
OPMC,OPTIMUMCARE CORP,Pink No Information,0.008000,,0 ,Common Stock,USA,California
ATIN,ATI NATIONWIDE HLDG,Pink No Information,0.002600,,0 ,Common Stock,USA,North Carolina
SCRH,SCORES HOLDING CO INC,Pink No Information,0.007500,-4.4586,"33,077 ",Common Stock,USA,New York
OLDF,OLD FORGE BANK PA,Pink No Information,84.000000,,0 ,Common Stock,USA,Pennsylvania
